부정,중립,긍정
-3.29697299,-0.422619253,3.997940779
-1.945199728,2.858707428,-0.666647196
-3.164886951,-2.894524336,6.382128716
-3.261262417,6.67020607,-2.643503428
0.265306562,-2.193004131,2.15859437
-2.62328887,-1.660701513,4.797138214
-1.77725029,2.833444357,-0.884374321
-2.928415537,-0.985517502,4.153651237
-2.106881142,-0.771508932,3.252813339
-3.68810463,-2.628139257,6.642571449
-3.014626265,-3.092015505,6.524593353
-0.886657059,4.502272129,-3.103229284
-2.782842636,3.743362427,-0.678936422
-3.434673071,1.284629941,2.55891037
-1.685246706,1.323660135,0.660215855
-2.492741108,3.039584875,-0.315625191
-3.654323578,-2.709611416,6.522350311
-1.962132573,3.660119772,-1.338385224
-3.337880135,-2.571432352,5.930517673
-2.779644489,-0.667050064,3.625600576
-3.656099558,-2.14525342,6.031222343
-3.378488541,-1.146737456,4.829426765
-2.652174473,4.163546562,-1.129161596
-2.873635054,-2.998531103,6.018752098
-3.484617949,5.379234791,-1.06504333
-2.673484802,3.550830841,-0.352809757
-3.615211964,-2.622571468,6.561261654
-2.885955334,5.756875992,-2.08429575
-2.442086697,-1.133941054,3.730745554
-2.124218702,3.523787737,-1.197281003
-1.199717522,-1.210921526,2.615782976
-3.510960102,-2.769185305,6.615911961
-3.332798481,6.818264008,-2.863175154
-2.188326359,1.921654344,0.966942132
-3.85065937,5.292411804,-0.869403541
-3.505396843,-0.308477312,4.373322487
0.122983411,3.817862034,-3.46531868
-3.209998131,6.593018532,-2.790584326
-3.216336727,6.2927351,-2.467158556
0.832095265,3.66215992,-4.008724689
-2.888314724,6.30268383,-2.641209841
-0.23424466,-0.497267336,0.731774509
-3.357526779,6.52872467,-2.477232218
-0.505372941,0.80942446,-0.12632452
1.844979882,1.78855598,-3.591695309
-2.796064615,2.869463682,0.041043866
-3.332680941,-2.990882874,6.570652962
-3.202165842,3.951490641,-0.122291058
-3.415798664,6.83561945,-2.847901583
-3.856003761,-1.846965194,5.914380074
3.417984962,0.536075294,-4.041687012
-1.488320112,3.927262068,-2.184274435
-3.172290325,-2.073038101,6.009836197
-2.761969805,-2.746436357,5.960149765
-2.73223877,-1.882400513,4.637182236
-3.786081314,-2.437927961,6.60239315
-3.38853097,6.382789612,-2.250976324
-2.155602694,-3.781072855,6.242889404
-2.838190556,4.163157463,-0.896109641
-4.23735857,4.232933044,0.645059526
-3.208024502,6.638476372,-2.718713522
-2.936665773,5.639771461,-1.948270321
-3.340354443,5.861049652,-1.898659825
-3.211776018,6.044147491,-2.083190441
-2.309897423,6.420769215,-3.723857164
-0.761235237,2.492255926,-1.321757078
-3.770172834,2.727818251,1.740308881
2.426508188,0.18074204,-2.439782858
-1.485956192,4.623638153,-2.677533388
-2.740185738,-3.281051874,6.41374588
-1.814307213,5.260954857,-3.077035427
-3.221821547,6.814031601,-3.019391537
-3.509687424,3.805611372,0.21390076
0.530333042,0.367467672,-0.884971142
-3.625662804,4.728803635,-0.467299134
-1.974593639,1.725359201,0.795252144
-3.681883335,3.714476347,0.619526446
-3.925951958,0.90038681,3.720325708
-3.350532055,-2.844566584,6.580890179
